Gene Accession Number,AFFX-BioB-5_at,AFFX-BioB-M_at,AFFX-BioB-3_at,AFFX-BioC-5_at,AFFX-BioC-3_at,AFFX-BioDn-5_at,AFFX-BioDn-3_at,AFFX-CreX-5_at,AFFX-CreX-3_at,AFFX-BioB-5_st,AFFX-BioB-M_st,AFFX-BioB-3_st,AFFX-BioC-5_st,AFFX-BioC-3_st,AFFX-BioDn-5_st,AFFX-BioDn-3_st,AFFX-CreX-5_st,AFFX-CreX-3_st,hum_alu_at,AFFX-DapX-5_at,AFFX-DapX-M_at,AFFX-DapX-3_at,AFFX-LysX-5_at,AFFX-LysX-M_at,AFFX-LysX-3_at,AFFX-PheX-5_at,AFFX-PheX-M_at,AFFX-PheX-3_at,AFFX-ThrX-5_at,AFFX-ThrX-M_at,AFFX-ThrX-3_at,AFFX-TrpnX-5_at,AFFX-TrpnX-M_at,AFFX-TrpnX-3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_3_at,AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_M_at,AFFX-HUMGAPDH/M33197_3_at,AFFX-HSAC07/X00351_5_at,AFFX-HSAC07/X00351_M_at,AFFX-HSAC07/X00351_3_at,AFFX-HUMTFRR/M11507_5_at,AFFX-HUMTFRR/M11507_M_at,AFFX-HUMTFRR/M11507_3_at,AFFX-M27830_5_at
ALL-T,-139,-73,-1,283,-264,-400,-330,-168,101,74,19,-743,-239,-83,182,164,-141,-423,11038,37,134,-161,-21,-180,18,-120,-65,97,15,-49,-330,-41,-772,-259,-192,-219,116,433,615,115,1518,19448,13568,18112,17926,20668,16959,513,153,285,2215
ALL-T,-76,-49,-307,309,-376,-650,33,-367,206,-215,19,-1135,-962,-232,208,432,84,-501,16692,183,378,-221,67,-203,238,-124,-161,36,-23,-80,-481,-65,-620,-269,-136,104,476,1474,5669,3272,3668,27410,16756,23006,22626,24672,18285,609,66,187,3325
ALL-T,-138,-85,215,71,-272,-558,67,-186,87,193,325,-631,-625,-177,-94,222,-1,-140,34207,65,154,-49,-24,-72,39,-104,-40,40,46,-78,-273,-7,-618,-355,-344,-327,176,412,4148,2743,2404,25771,24420,30481,32046,38467,25364,245,-40,222,3906
ALL-T,5,-127,106,268,-210,-535,0,-174,24,506,284,-829,-844,-230,292,172,-59,-323,15272,29,188,-69,74,-217,106,-159,-155,-101,143,-4,-283,47,-383,-196,-106,-100,166,752,13005,7272,13939,19932,15546,18316,18288,18507,15693,371,-41,323,6114
ALL-T,-88,-105,42,219,-178,-246,328,-148,177,183,-143,-684,-468,-51,233,310,-79,-443,21801,-36,-39,-142,10,-130,-1,-18,-70,-2,2,-9,-264,71,-500,-283,-230,-109,155,606,-163,-213,-241,27919,18782,23485,20332,25078,19625,43,-14,320,-9
ALL-T,-165,-155,-71,82,-163,-430,100,-109,56,350,204,-524,-599,-188,34,221,-41,-204,18167,-8,115,-95,14,-54,91,-81,-134,22,5,-14,-269,42,-509,-233,-275,-276,46,266,791,122,1553,25452,17041,21746,16870,20196,16241,264,-4,209,1531
ALL-T,-113,-147,-118,243,-127,-398,-249,-228,-37,113,188,-625,-413,-229,0,175,-99,-142,14760,35,134,-33,68,-95,71,-41,-77,-93,-13,-31,-237,53,-383,-163,-317,91,185,1490,912,583,1916,16323,11676,18540,17503,20079,15493,159,7,416,628
ALL-T,-74,-321,-11,-36,-317,-499,-138,-119,115,-17,265,-600,-469,-235,58,81,-64,-131,36417,60,229,-64,98,-93,13,-112,-56,-93,-49,-75,-176,-26,-341,-212,-153,-60,30,594,17655,17011,5885,16743,19434,25224,17779,22878,17883,340,45,203,7453
ALL-B,-214,-153,-58,88,-295,-558,199,-176,252,206,-41,-831,-653,-462,75,381,-118,-565,15091,7,311,-231,21,-107,165,-78,-204,29,-61,-105,-366,-41,-346,-297,-109,-13,215,797,14538,9738,8529,15076,11126,17782,16287,18727,15774,264,70,298,6750
ALL-B,-135,-114,265,12,-419,-585,158,-253,49,31,363,-934,-577,-214,142,271,-107,-101,15763,45,268,-27,43,-52,247,-116,-208,22,-10,-74,-240,-33,-560,-261,-366,-148,155,415,4850,2293,2569,14920,11439,17633,15770,18773,14245,183,-54,260,3058
ALL-B,-106,-125,-76,168,-230,-284,4,-122,70,252,155,-471,-490,-184,32,213,1,-260,18128,-28,118,-153,-8,-111,44,-88,-102,32,5,-18,-228,53,-348,-169,-156,-55,122,483,1284,2731,316,14653,15030,17384,16386,19091,18323,291,78,287,1130
ALL-B,-72,-144,238,55,-399,-551,131,-179,126,-20,-115,-1003,-761,-541,109,435,-129,-399,30801,43,80,-87,-8,-250,100,-73,-132,-57,-52,-73,-327,-28,-613,-317,-220,-179,58,383,21573,11031,26002,11605,12125,20356,13576,14956,18106,171,-25,141,7761
ALL-B,-413,-260,7,-2,-541,-790,-275,-463,70,-169,361,-1001,-520,-163,-38,281,-137,-247,25147,338,269,-116,46,-317,265,-130,-212,-233,29,-28,-599,73,-604,-226,-229,-163,257,580,3934,1548,1299,8184,4175,10642,16303,18006,16885,487,-19,115,4277
ALL-B,-67,-93,84,25,-179,-323,-135,-127,-2,-66,208,-472,-163,-192,-80,89,-106,-251,27087,-5,186,-18,-2,-150,79,-57,-116,-45,38,-79,-165,15,-432,-231,-321,-224,-17,152,8299,4204,5351,19281,20863,25785,11664,17705,17558,237,14,195,4239
ALL-B,-92,-119,-31,173,-233,-227,-49,-62,13,230,2,-425,-381,-2,62,243,-41,-424,19324,21,38,-37,26,-118,153,-86,-76,22,38,-83,-170,17,-505,-251,-306,-250,202,778,-71,-209,-316,11065,10630,11898,14587,18957,17520,184,-52,165,55
ALL-B,-107,-72,-126,149,-205,-284,-166,-185,1,-23,205,-437,-351,-210,39,67,-122,-110,11631,50,173,-24,-10,-71,37,-80,-46,43,-102,10,-187,2,-395,-192,-43,594,776,1680,6800,6946,2740,17426,14110,16658,16292,20258,15027,173,21,283,2773
ALL-B,-117,-219,-50,257,-218,-402,228,-147,65,67,-101,-547,-277,-22,196,306,-68,-362,16738,-22,232,-156,-38,-134,139,-119,-114,13,-63,-26,-339,39,-645,-356,-304,-221,114,629,-8,-251,-186,10815,13017,17585,14149,19710,17843,134,-58,153,124
ALL-B,-476,-213,-18,301,-403,-394,-42,-144,98,173,-133,-959,-271,-228,-42,232,100,-599,14030,95,98,-208,107,-237,84,-241,-144,-29,22,-91,-574,76,-732,-283,-283,-226,265,809,-96,-397,-382,16575,13007,15992,14998,19137,16608,490,166,285,12
ALL-B,-81,-150,-119,78,-152,-340,-36,-141,96,-55,-209,-362,-427,-4,199,290,1,-350,23505,41,93,-147,4,-81,76,-67,-46,-55,1,19,-267,-10,-414,-133,-130,-23,78,524,832,933,273,19482,16429,20255,18221,23994,21275,304,78,476,2682
ALL-B,-44,-51,100,207,-146,-221,83,-198,34,-20,11,-535,-386,-64,49,13,-46,-334,20225,-42,191,-55,-29,-174,-3,-123,-99,-18,-57,-76,-154,20,-736,-391,-423,-344,126,370,-56,-284,-414,12502,14131,18930,9670,13457,13835,163,20,154,145
ALL-B,17,-229,79,218,-262,-404,326,-201,6,469,-127,-539,-95,-114,171,99,-102,-541,6479,22,171,-129,-30,-205,36,-109,-101,61,-5,62,-192,8,-992,-296,-273,-97,448,2822,70,-233,-364,12701,10592,15580,10471,16259,15428,294,147,264,318
ALL-B,-144,-199,-157,132,-151,-347,-118,-24,126,-201,-89,-429,-74,-63,327,96,61,-79,22143,2,211,-47,101,11,68,-79,-79,8,31,-24,-154,-36,-328,-158,-222,-92,73,404,-103,-282,-259,188,-74,5325,570,-173,17866,71,52,184,19
ALL-B,-247,-90,-168,-24,-308,-571,-170,-224,124,-117,-14,-731,-546,-209,115,111,-2,-264,24327,48,253,-73,23,-181,36,20,-75,149,-26,-17,-145,-28,-461,-173,-227,-95,-104,153,16487,13380,10071,13831,11270,17807,8588,11071,10551,285,-2,164,7518
ALL-B,-120,-263,-114,255,-342,-396,-412,-153,184,-162,100,-477,-498,-210,-71,217,52,-145,14989,92,67,-52,-32,208,92,-82,-152,-59,-45,-50,-146,32,-457,-272,-199,-168,147,659,-142,-346,-386,11329,10299,16402,11295,19613,17002,249,-21,-78,245
ALL-B,-81,-150,-85,316,-418,-461,-66,-184,164,-5,46,-470,-383,-225,85,83,-77,-120,18343,71,32,-59,23,-268,-113,-55,-106,63,-10,-83,-255,-6,-607,-220,-300,-113,191,753,4958,2666,4297,19430,15970,20346,8496,12980,15190,326,220,610,9085
ALL-B,-112,-233,-78,54,-244,-275,-479,-108,136,-86,-190,-308,-497,-106,80,246,-7,-194,12801,-17,161,-76,4,-27,100,-50,-140,-7,-42,-28,-247,-123,-586,-278,-280,-113,35,495,29,-148,-337,6480,8380,16130,7579,14928,19025,172,-8,158,322
ALL-B,-273,-327,-76,81,-439,-616,419,-251,165,350,-40,-1250,-863,-125,270,312,-179,-874,25673,172,366,-186,67,-97,6,-93,-215,7,-37,-61,-458,-93,-580,-215,-253,-179,-62,503,7953,4004,2584,9805,7327,15100,12077,19471,20134,151,-161,201,4681
AML,-20,-207,-50,101,-369,-529,14,-365,153,29,255,-769,-615,-199,232,222,-172,-287,16716,-66,172,-80,18,-182,169,-66,-243,-102,-45,-29,-419,-12,-686,-310,-293,-66,182,378,504,92,114,17664,13861,19462,12695,15550,15535,342,6,367,561
AML,7,-100,-57,132,-377,-478,-351,-290,283,247,146,-752,-702,-228,48,180,-141,-233,45492,-26,67,-72,7,-86,76,-55,-177,0,-79,-125,-281,122,-622,-307,-221,-79,45,372,2171,1752,904,10695,7103,16358,9628,13001,18960,432,257,331,1733
AML,-213,-252,136,318,-209,-557,40,-243,119,-131,45,-902,-306,-258,465,298,-93,-516,23865,-38,-14,-191,7,-283,27,-131,-190,-32,9,-35,-370,-11,-517,-194,-161,216,227,722,580,130,-38,26516,17621,23892,21865,25106,18111,269,86,292,718
AML,-25,-20,124,325,-396,-464,-221,-390,-1,358,-197,-852,-689,-175,-7,-156,-47,-397,17359,44,286,-73,-11,-272,118,-88,-206,-5,-68,-60,-278,38,-463,-228,10,1287,810,1378,2183,1563,870,25634,15041,20251,16711,18866,14434,807,723,1712,1635
AML,-72,-139,-1,392,-324,-510,-350,-202,249,561,275,-785,-326,-47,-96,16,-140,-367,19406,113,227,-9,-13,-289,-25,-141,-114,-16,26,-59,-383,141,-588,-188,-74,207,260,720,819,513,1938,21592,15033,21518,14663,15226,14254,1607,1127,3031,3946
AML,-4,-116,-125,241,-191,-411,-31,-240,150,24,19,-669,-664,-311,297,353,-96,-291,17878,21,218,-103,52,-242,134,-105,-207,-42,-59,-39,-183,77,-495,-124,-111,51,132,647,1065,498,2039,19351,12453,17844,15706,18644,14595,701,427,723,1710
AML,15,-114,2,193,-51,-155,29,-105,42,524,-70,-344,-285,-53,38,-142,-125,-118,26052,-67,121,-69,6,-198,61,-93,-190,-18,-49,-66,-117,-38,-262,-106,-133,-95,-22,202,442,-54,-14,14706,17479,19262,8446,12482,9529,559,375,812,269
AML,-318,-192,-95,312,-139,-344,324,-237,105,167,-50,-820,-231,-273,208,99,-126,-534,11983,-81,114,-67,32,-162,175,-20,-109,31,-23,-21,-246,-31,-589,-353,-314,-435,135,423,45,-450,-186,24678,14230,18329,16788,20311,16207,409,76,435,209
AML,-32,-49,49,230,-367,-508,-349,-194,34,-56,147,-841,-657,-240,-15,227,-166,-453,23508,-126,61,-35,45,-94,125,-125,-171,66,-56,-68,-217,-48,-775,-235,-266,-125,85,295,9042,3852,2857,20574,15646,20905,23829,27914,19257,340,47,341,3879
AML,-124,-79,-37,330,-188,-423,-31,-223,-82,176,226,-1010,-513,-333,30,177,-69,-411,17996,20,371,-68,6,-134,111,-44,-232,-7,-144,-56,-217,17,-657,-332,-277,-36,123,532,5199,1869,1365,15496,12086,15191,19338,23054,16767,398,22,322,2113
